TweetID,TweetTime,TweetText,TweetLang,TimeZone,FollowerCount
979592489257517057,2018-03-30 05:33:43.657000000,Pacific Rim Uprising   I m Not Mad  Just Disappointed  Also Mad    via  ,en,Kuala Lumpur,3239
979593176783585280,2018-03-30 05:36:27.667000000,Pacific Rim or Game Night  Or both  Hahaha  Charot,en,Hong Kong,401
979593242336464896,2018-03-30 05:36:43.207000000,   32  Pacific Rim 2 was awesome  not quite as good as the first one  but really fun nonetheless ,en,None,10
979593487761879041,2018-03-30 05:37:41.830000000,    I missed THE ENDLESS  Sorry everyone  was kinda busy      This weekend is going to be a sad film watching one   PETER RABB ,en,Sydney,1234
979593951538630656,2018-03-30 05:39:32.373000000,Pacific rim was good but just wish it wasn t so predictable   ,en,Pacific Time (US & Canada),108
979594013182451713,2018-03-30 05:39:46.987000000,Pacific Rim Uprising,en,None,329
979594223166013440,2018-03-30 05:40:38.207000000,Pacific Rim Uprising  Great robot fights  third act felt rushed  kinda need to see last one to remember who s who    ,en,None,17
979594232288563200,2018-03-30 05:40:39.367000000,Kids have been ruining every movie coming out pacific rim was so trash with that wack ass lil girl  But John boyega was so sick ,en,Arizona,136
979594510014480384,2018-03-30 05:41:45.587000000,I liked a   video   Best Upcoming Movies 2018  Pacific Rim,en,New Delhi,184
979594740055334912,2018-03-30 05:42:40.357000000,Everyone is saying that Pacific Rim was better in 3d  but I can t watch 3d movies without getting a migraine so I feel left out,en,Mountain Time (US & Canada),333
979595442387263488,2018-03-30 05:45:27.777000000,I m so sorry to hear that   ,en,Pacific Time (US & Canada),45401
979595602639011840,2018-03-30 05:46:06.083000000,    TECH  Pacific Rim s Robots Are Less Advanced Than Some of Today s Real Robots    robotics  ,en,None,354
979595642136772608,2018-03-30 05:46:15.507000000,Would love that   ,en,Pacific Time (US & Canada),45401
979595865663909888,2018-03-30 05:47:08.833000000,Pacific Rim Uprising was real good,en,Eastern Time (US & Canada),390
979596150041927680,2018-03-30 05:48:16.687000000,n e ways saw pacific rim 2 a few days back and   wow i have feelings,en,Eastern Time (US & Canada),61
979596475465428993,2018-03-30 05:49:34.107000000,Pacific Rim 3 please   ,en,Mountain Time (US & Canada),644
979596521380438018,2018-03-30 05:49:45.093000000,PACIFIC RIM 2 SPOILERS   loved it though      just w hy did the have to k ll off mako,en,Eastern Time (US & Canada),61
979596815866544129,2018-03-30 05:50:55.300000000,me vs spending every cent i get on pacific rim merch,en,Brisbane,23
979596845876785153,2018-03-30 05:51:02.557000000,just rewatched pacific rim in prep for uprising and good jesus titty christ  it is STILL legit one of my favorite m   ,en,None,109
979596995340980224,2018-03-30 05:51:38.097000000,The Cornish version of  pacific rim   Atlantic edge  we just need a giant sea monster to fight   ,en,Dublin,337
979597014714392576,2018-03-30 05:51:42.763000000,     Pacific Rim Uprising   How Toys And Motion Capture Helped Bring Giant Robots To Life  a look behind the scenes with   s P ,en,Tokyo,2731
979597275973537797,2018-03-30 05:52:44.983000000,  How was pacific rim 2 ,en,None,7
979597350426562560,2018-03-30 05:53:02.670000000,I m really trying to go see the new pacific rim man ,en,Eastern Time (US & Canada),545
979597433444290560,2018-03-30 05:53:22.583000000,  I am legend and pacific rim ,en,Central Time (US & Canada),1630
979597460493369345,2018-03-30 05:53:28.910000000,watching pacific rim because i loveee mecha animes and this is likethe closest we ve gotten  0 i should watch the second one too,en,Hong Kong,42
979597706854354944,2018-03-30 05:54:27.787000000,Sinew  forest  instagram  leaves  photo   landscape   Pacific Rim National Park Reserve  ,en,Alaska,133
979597721353900032,2018-03-30 05:54:31.150000000,BAM  Here s my video on Pacific Rim Uprising   ,en,Melbourne,22
979597770234277888,2018-03-30 05:54:43.327000000,PACIFIC RIM  Film  43 of 2018   ,en,Pacific Time (US & Canada),10094
979597867332587520,2018-03-30 05:55:05.997000000,  darram     That s what Pacific Rim is lol,en,None,534
979598114582663170,2018-03-30 05:56:04.927000000,  There are many with one  Pacific Rim  Independence Day  MiB  Night of The Living Dead  etc   But da   ,en,Central Time (US & Canada),16356
979598123369627648,2018-03-30 05:56:06.970000000,i just watched pacific rim 2  it was so boring  ,en,Mountain Time (US & Canada),7481
979598123478802433,2018-03-30 05:56:07.447000000,Walk  instagram  photo  photograph  beautifulbc  landscape  forest   Pacific Rim National Park   ,en,Alaska,133
979598162355785728,2018-03-30 05:56:16.630000000,  I had already seen the trailer  Pacific Rim Uprising and it is just epic   ,en,None,7
979598475091329029,2018-03-30 05:57:30.970000000,anyways the one cinema in melbourne that we could get to that was showing pacific rim with captions turned out to n   ,en,Melbourne,541
979598527817920512,2018-03-30 05:57:43.450000000,This is the most resounding negative review I have ever read   ,en,Pacific Time (US & Canada),104
979598758030659584,2018-03-30 05:58:38.317000000,I actually rlly liked pacific rim uprising,en,None,76
979598780998680582,2018-03-30 05:58:43.727000000,Me too   But tough sell these days   ,en,Pacific Time (US & Canada),45398
979598899240415233,2018-03-30 05:59:11.993000000,    darram It s the child of Bayformers and Godzilla  Mindless action with big robots   big mon   ,en,None,534
979598981679538176,2018-03-30 05:59:31.633000000,    it s weird that Guillermo del Toro s fish banging movie isn t the one he called Pacific Rim,en,Central Time (US & Canada),343
979598990298832896,2018-03-30 05:59:33.973000000,Thoughts on Pacific Rim Uprising  Scott Eastwood  He s fucking hot  But he s a seriously underdeveloped character    ,en,America/Chicago,822
979599034120679424,2018-03-30 05:59:44.160000000,Watching Pacific Rim  Uprising    ,en,Tokyo,146
979599349851271168,2018-03-30 06:00:59.447000000,Burnt cash lol   ,en,Europe/Madrid,480
979599639216295937,2018-03-30 06:02:08.323000000,pacific rim was awful and i feel like i have been robbed,en,None,87
979599813275664384,2018-03-30 06:02:50.017000000,    Retweeted Steve EILFM Podcast       Our Full Length Commentary comes out tomorrow    and it s NOT Pacific Rim  ,en,None,3664
979599855763955712,2018-03-30 06:02:59.950000000,Ready player 1 or Pacific Rim 2 ,en,Pacific Time (US & Canada),210
979599912265568256,2018-03-30 06:03:13.577000000,    Follow and Retweet for your chance to win     Trading Card   M1 wardrobe card    ,en,None,12
979599977663094784,2018-03-30 06:03:28.960000000,Who has seen Pacific Rim  is it good ,en,Alaska,1386
